type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase,latency_mem_ptr_chase_ram,bandwidth_ram
DDR4-1.3333333,0,0,102500989505.24739,213.74649234693877,196.66666666666666,135.90658614766465,102527156586.0
DDR4-1.3333333,0,5,97779257571.2144,176.89009629825955,160.95238095238093,122.06701655167542,97812203142.0
DDR4-1.3333333,0,10,94336105547.22638,160.70740296118447,132.85714285714286,106.37811865945297,94360752396.0
DDR4-1.3333333,0,15,83601232983.50826,136.03017444601602,105.23809523809523,97.7086156927154,83606465676.0
DDR4-1.3333333,0,20,77542687856.07196,125.0604131560881,95.71428571428571,92.86982257174556,77554231284.0
DDR4-1.3333333,0,25,73855856071.96402,121.16200108361929,90.95238095238095,88.47722321193058,73855643604.0
DDR4-1.3333333,0,30,72302565517.24138,119.10458444247264,85.23809523809524,83.24832283120807,72297431118.0
DDR4-1.3333333,0,35,69657619190.4048,115.8670010377032,82.38095238095238,80.63608701590218,69657137814.0
DDR4-1.3333333,0,40,60669274962.518745,107.60833467245166,75.71428571428571,74.96573062414326,60652967634.0
DDR4-1.3333333,0,45,59427300749.62519,104.91025641025641,72.38095238095238,71.55888178897204,59421717714.0
DDR4-1.3333333,0,50,57217995802.09895,102.84568564267812,69.52380952380952,69.10560247764006,57220465398.0
DDR4-1.3333333,0,55,56575549025.48726,101.90410193928317,70.95238095238095,70.33049725826243,56587504566.0
DDR4-1.3333333,0,60,55165658770.6147,101.73124175043151,69.52380952380952,68.83292272082306,55174832748.0
DDR4-1.3333333,0,65,53718155322.33884,99.87074829931973,69.52380952380952,68.67419346685483,53723860758.0
DDR4-1.3333333,0,70,51993120239.880066,98.39764107081682,64.76190476190476,64.03919110097978,51988661130.0
DDR4-1.3333333,0,80,48896748425.78711,96.40964836638881,64.28571428571428,63.45035483625887,48876267750.0
DDR4-1.3333333,0,90,45681626386.8066,93.59477215543751,59.047619047619044,58.64683346617083,45662278104.0
